CITY_TR,DISTRICT_TR,CITY_EN,DISTRICT_EN,DISSOLVEDC,DISTRICTCODE,INSHP,CITYDATE,DISTRICTDATE,DISTRICTFROM,DISSOLVE,CENTRALOLD,CENTRALDISTRICT,DISTRICTCOUNT,CITYCODE,ISO31662,NUTS,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
Adana,Seyhan,Adana,Seyhan,1104,1104,1,,,,1,0,1,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Tufanbeyli,Adana,Tufanbeyli,1687,1687,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Yumurtalık,Adana,Yumurtalik,1734,1734,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Yüreğir,Adana,Yuregir,1748,1748,1,,,,2,0,1,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adıyaman,Besni,Adiyaman,Besni,1182,1182,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Çelikhan,Adiyaman,Celikhan,1246,1246,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Gerger,Adiyaman,Gerger,1347,1347,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Gölbaşı,Adiyaman,Golbasi,1354,1354,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Kahta,Adiyaman,Kahta,1425,1425,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Merkez,Adiyaman,Merkez,1105,1105,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Samsat,Adiyaman,Samsat,1592,1592,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Sincik,Adiyaman,Sincik,1985,1985,1,,05/20/90,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Tut,Adiyaman,Tut,1989,1989,1,,05/20/90,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Afyonkarahisar,Başmakçı,Afyonkarahisar,Basmakci,1771,1771,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Bayat,Afyonkarahisar,Bayat,1773,1773,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Bolvadin,Afyonkarahisar,Bolvadin,1200,1200,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Çay,Afyonkarahisar,Cay,1239,1239,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Çobanlar,Afyonkarahisar,Cobanlar,1906,1906,1,,05/20/90,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Dazkırı,Afyonkarahisar,Dazkiri,1267,1267,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
