NAME_1_TR,NAME_2_TR,NAME_1_EN,NAME_2_EN,DIST_CNT,CODE,IN_MIB,fromshp1,fromshp2,,IN_GADM
AKSARAY,GÜLAĞAÇ,AKSARAY,GULAGAC,7,1932,1,AKSARAY ,GÜLAĞAÇ,TRUE,1
AKSARAY,GÜZELYURT,AKSARAY,GUZELYURT,7,1861,1,AKSARAY ,GÜZELYURT,TRUE,1
AKSARAY,MERKEZ,AKSARAY,MERKEZ,,1120,0,AKSARAY ,MERKEZ,TRUE,1
AKSARAY,ORTAKÖY,AKSARAY,ORTAKOY,7,1557,1,AKSARAY ,ORTAKÖY,TRUE,1
AKSARAY,SARIYAHŞİ,AKSARAY,SARIYAHSI,7,1866,1,AKSARAY ,SARIYAHŞİ,TRUE,1
AKSARAY,SULTANHANI,AKSARAY,SULTANHANI,7,2106,1,,,FALSE,0
AMASYA,GÖYNÜCEK,AMASYA,GOYNUCEK,6,1363,1,AMASYA ,GÖYNÜCEK,TRUE,1
AMASYA,GÜMÜŞHACIKÖY,AMASYA,GUMUSHACIKOY,6,1368,1,AMASYA ,GÜMÜŞHACIKÖY,TRUE,1
AMASYA,HAMAMÖZÜ,AMASYA,HAMAMOZU,6,1938,1,AMASYA ,HAMAMÖZÜ,TRUE,1
AMASYA,MERKEZ,AMASYA,MERKEZ,,1134,0,AMASYA ,MERKEZ,TRUE,1
AMASYA,MERZİFON,AMASYA,MERZIFON,6,1524,1,AMASYA ,MERZİFON,TRUE,1
AMASYA,SULUOVA,AMASYA,SULUOVA,6,1641,1,AMASYA ,SULUOVA,TRUE,1
AMASYA,TAŞOVA,AMASYA,TASOVA,6,1668,1,AMASYA ,TAŞOVA,TRUE,1
ANKARA,AKYURT,ANKARA,AKYURT,25,1872,1,ANKARA ,AKYURT,TRUE,1
ANKARA,ALTINDAĞ,ANKARA,ALTINDAG,25,1130,1,ANKARA ,ALTINDAĞ,TRUE,1
ANKARA,AYAŞ,ANKARA,AYAS,25,1157,1,ANKARA ,AYAŞ,TRUE,1
ANKARA,BALA,ANKARA,BALA,25,1167,1,ANKARA ,BALA,TRUE,1
ANKARA,BEYPAZARI,ANKARA,BEYPAZARI,25,1187,1,ANKARA ,BEYPAZARI,TRUE,1
ANKARA,ÇAMLIDERE,ANKARA,CAMLIDERE,25,1227,1,ANKARA ,ÇAMLIDERE,TRUE,1
ANKARA,ÇANKAYA,ANKARA,CANKAYA,25,1231,1,ANKARA ,ÇANKAYA,TRUE,1
ANKARA,ÇUBUK,ANKARA,CUBUK,25,1260,1,ANKARA ,ÇUBUK,TRUE,1
ANKARA,ELMADAĞ,ANKARA,ELMADAG,25,1302,1,ANKARA ,ELMADAĞ,TRUE,1
ANKARA,ETİMESGUT,ANKARA,ETIMESGUT,25,1922,1,ANKARA ,ETİMESGUT,TRUE,1
ANKARA,EVREN,ANKARA,EVREN,25,1924,1,ANKARA ,EVREN,TRUE,1
