CODE,NAME,NAME_EN,ISO3166-2,NUTS3,NUTS2,NUTS1,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
69,Bayburt,bayburt,TR-69,TRA13,TRA1,TRA,3739.08,97358,80607,Gumushane,06/21/89,0,NA
4,Ağrı,agri,TR-04,TRA21,TRA2,TRA,11498.67,528744,549435,NA,NA,0,NA
36,Kars,kars,TR-36,TRA22,TRA2,TRA,10139.09,325016,296466,NA,NA,0,NA
76,Iğdır,igdir,TR-76,TRA23,TRA2,TRA,3587.81,168634,192056,Kars,05/27/92,0,NA
75,Ardahan,ardahan,TR-75,TRA24,TRA2,TRA,4967.63,133756,100809,Kars,05/27/92,0,NA
44,Malatya,malatya,TR-44,TRB11,TRB1,TRB,12102.7,853658,769544,NA,NA,1,2013
23,Elazığ,elazig,TR-23,TRB12,TRB1,TRB,9281.45,569616,568753,NA,NA,0,NA
12,Bingöl,bingol,TR-12,TRB13,TRB1,TRB,8253.51,253739,266019,NA,NA,0,NA
62,Tunceli,tunceli,TR-62,TRB14,TRB1,TRB,7685.66,93584,86527,NA,NA,0,NA
65,Van,van,TR-65,TRB21,TRB2,TRB,19414.14,877524,1085542,NA,NA,1,2013
49,Muş,mus,TR-49,TRB22,TRB2,TRB,8067.16,453654,411216,NA,NA,0,NA
13,Bitlis,bitlis,TR-13,TRB23,TRB2,TRB,7094.5,388678,338023,NA,NA,0,NA
30,Hakkari,hakkari,TR-30,TRB24,TRB2,TRB,7178.88,236581,276287,NA,NA,0,NA
27,Gaziantep,gaziantep,TR-27,TRC11,TRC1,TRC,6844.84,1285249,1889466,NA,NA,1,1986
2,Adıyaman,adiyaman,TR-02,TRC12,TRC1,TRC,7606.16,623811,597835,NA,NA,0,NA
79,Kilis,kilis,TR-79,TRC13,TRC1,TRC,1427.76,114724,128781,Gaziantep,06/10/95,0,NA
63,Şanlıurfa,sanliurfa,TR-63,TRC21,TRC2,TRC,19336.21,1443422,1845667,NA,NA,1,2013
21,Diyarbakır,diyarbakir,TR-21,TRC22,TRC2,TRC,15204.01,1362708,1635048,NA,NA,1,1993
47,Mardin,mardin,TR-47,TRC31,TRC3,TRC,8806.04,705098,788996,NA,NA,1,2013
72,Batman,batman,TR-72,TRC32,TRC3,TRC,4659.21,456734,557593,Siirt,05/16/90,0,NA
56,Siirt,siirt,TR-56,TRC34,TRC3,TRC,5473.29,263676,318366,NA,NA,0,NA
73,Şırnak,sirnak,TR-73,TRC33,TRC3,TRC,7151.57,353197,488966,Siirt,05/15/90,0,NA
